Week,Campaign status,Campaign,Currency code,Budget,Budget type,Campaign type,Impr.,Interactions,Interaction rate,Cost,Conversions,Conv. value,Conv. value / cost,Conv. rate,Avg. session duration (seconds),Avg. CPC,Cost / conv.,Bid strategy type
7/8/2019,Enabled,Collection A V2,USD,300,Daily,Search,630,42,6.67%,31.5,0,0,0,0.00%,75,0.75,0,Manual CPC
4/29/2019,Enabled,Collection A V2,USD,300,Daily,Search,"1,212",36,2.97%,25.56,0,0,0,0.00%,48,0.71,0,Manual CPC
4/8/2019,Enabled,Collection A V2,USD,300,Daily,Search,966,42,4.35%,33.66,0,0,0,0.00%,10,0.8,0,Manual CPC
4/15/2019,Enabled,Collection A V2,USD,300,Daily,Search,"1,044",60,5.75%,41.94,0,0,0,0.00%,77,0.7,0,Manual CPC
4/22/2019,Enabled,Collection A V2,USD,300,Daily,Search,"1,338",54,4.04%,37.8,0,0,0,0.00%,81,0.7,0,Manual CPC
5/13/2019,Enabled,Collection A V2,USD,300,Daily,Search,684,72,10.53%,54.36,6,5099.88,102.16,9.09%,339,0.76,8.32,Manual CPC
5/20/2019,Enabled,Collection A V2,USD,300,Daily,Search,528,24,4.55%,19.02,0,0,0,0.00%,46,0.79,0,Manual CPC
5/27/2019,Enabled,Collection A V2,USD,300,Daily,Search,696,30,4.31%,19.2,0,0,0,0.00%,421,0.64,0,Manual CPC
6/3/2019,Enabled,Collection A V2,USD,300,Daily,Search,630,30,4.76%,23.04,0,0,0,0.00%,291,0.77,0,Manual CPC
6/10/2019,Enabled,Collection A V2,USD,300,Daily,Search,666,18,2.70%,11.04,0,0,0,0.00%,62,0.61,0,Manual CPC
6/17/2019,Enabled,Collection A V2,USD,300,Daily,Search,684,18,2.63%,14.16,0,0,0,0.00%,10,0.79,0,Manual CPC
6/24/2019,Enabled,Collection A V2,USD,300,Daily,Search,954,66,6.92%,48.18,0,0,0,0.00%,41,0.73,0,Manual CPC
4/1/2019,Enabled,Collection A V2,USD,300,Daily,Search,"1,368",54,3.95%,39.42,0,0,0,0.00%,44,0.73,0,Manual CPC
5/6/2019,Enabled,Collection A V2,USD,300,Daily,Search,828,72,8.70%,54.9,0,0,0,0.00%,216,0.76,0,Manual CPC
7/1/2019,Enabled,Collection A V2,USD,300,Daily,Search,864,24,2.78%,17.64,0,0,0,0.00%,102,0.74,0,Manual CPC
5/13/2019,Enabled,Collection A V3,USD,300,Daily,Search,"4,074",282,6.92%,235.14,0,0,0,0.00%,103,0.83,0,Manual CPC
5/27/2019,Enabled,Collection A V3,USD,300,Daily,Search,"4,752",168,3.54%,154.32,0,0,0,0.00%,160,0.92,0,Manual CPC
7/8/2019,Enabled,Collection A V3,USD,300,Daily,Search,"2,814",174,6.18%,154.08,0,0,0,0.00%,274,0.89,0,Manual CPC
4/15/2019,Enabled,Collection A V3,USD,300,Daily,Search,"5,244",276,5.26%,221.76,0,0,0,0.00%,256,0.8,0,Manual CPC
4/22/2019,Enabled,Collection A V3,USD,300,Daily,Search,"6,300",402,6.38%,298.02,0,0,0,0.00%,202,0.74,0,Manual CPC
4/29/2019,Enabled,Collection A V3,USD,300,Daily,Search,"7,278",414,5.69%,305.04,0,0,0,0.00%,116,0.74,0,Manual CPC
5/20/2019,Enabled,Collection A V3,USD,300,Daily,Search,"3,984",216,5.42%,172.98,0,0,0,0.00%,89,0.8,0,Manual CPC
6/17/2019,Enabled,Collection A V3,USD,300,Daily,Search,"5,250",222,4.23%,187.32,6,7109.64,37.95,2.70%,136,0.84,31.22,Manual CPC
6/24/2019,Enabled,Collection A V3,USD,300,Daily,Search,"3,540",180,5.08%,145.98,0,0,0,0.00%,146,0.81,0,Manual CPC
4/1/2019,Enabled,Collection A V3,USD,300,Daily,Search,"7,044",480,6.81%,406.26,3,2646,6.93,0.67%,147,0.85,127.34,Manual CPC
4/8/2019,Enabled,Collection A V3,USD,300,Daily,Search,"6,726",396,5.89%,308.64,0,0,0,0.00%,135,0.78,0,Manual CPC
5/6/2019,Enabled,Collection A V3,USD,300,Daily,Search,"3,696",210,5.68%,151.62,0,0,0,0.00%,231,0.72,0,Manual CPC
7/1/2019,Enabled,Collection A V3,USD,300,Daily,Search,"3,804",258,6.78%,231.66,6,6539.76,28.23,2.33%,265,0.9,38.61,Manual CPC
6/3/2019,Enabled,Collection A V3,USD,300,Daily,Search,"4,098",186,4.54%,166.8,0,0,0,0.00%,230,0.9,0,Manual CPC
6/10/2019,Enabled,Collection A V3,USD,300,Daily,Search,"3,960",162,4.09%,134.76,0,0,0,0.00%,154,0.83,0,Manual CPC
4/8/2019,Enabled,Collection A V4,USD,300,Daily,Search,"9,756",894,9.16%,672.06,6,6749.76,11.64,0.77%,133,0.75,96.63,Manual CPC
5/6/2019,Enabled,Collection A V4,USD,300,Daily,Search,"11,316","1,026",9.07%,1338.42,15,9059.7,7.51,1.62%,189,1.3,80.46,Manual CPC
5/27/2019,Enabled,Collection A V4,USD,300,Daily,Search,"11,478","1,122",9.78%,1900.08,1.98,1979.94,1.13,0.20%,162,1.69,876.63,Manual CPC
6/17/2019,Enabled,Collection A V4,USD,300,Daily,Search,"11,298","1,278",11.31%,2299.62,6,6059.82,2.64,0.47%,137,1.8,383.27,Manual CPC
6/24/2019,Enabled,Collection A V4,USD,300,Daily,Search,"9,546","1,020",10.69%,1881.54,0,0,0,0.00%,84,1.84,0,Manual CPC
7/1/2019,Enabled,Collection A V4,USD,300,Daily,Search,"9,930","1,182",11.90%,2116.86,6,7379.76,3.49,0.51%,125,1.79,352.81,Manual CPC
5/20/2019,Enabled,Collection A V4,USD,300,Daily,Search,"11,838","1,116",9.43%,1669.92,12,1829.82,1.22,1.21%,165,1.5,124.74,Manual CPC
7/8/2019,Enabled,Collection A V4,USD,300,Daily,Search,"7,872",768,9.76%,1536.96,0,0,0,0.00%,190,2,0,Manual CPC
4/1/2019,Enabled,Collection A V4,USD,300,Daily,Search,"9,732",828,8.51%,588.36,6,539.94,1,0.79%,118,0.71,90.07,Manual CPC
4/22/2019,Enabled,Collection A V4,USD,300,Daily,Search,"9,702",774,7.98%,623.64,10.98,7264.8,12.34,1.50%,91,0.81,53.5,Manual CPC
4/29/2019,Enabled,Collection A V4,USD,300,Daily,Search,"10,686",942,8.82%,935.7,15.6,19355.64,22.35,1.77%,204,0.99,55.51,Manual CPC
5/13/2019,Enabled,Collection A V4,USD,300,Daily,Search,"11,052","1,116",10.10%,1731.36,3.6,2879.94,1.82,0.35%,166,1.55,440.2,Manual CPC
4/15/2019,Enabled,Collection A V4,USD,300,Daily,Search,"8,190",750,9.16%,591.84,13.98,24582.66,44.09,1.98%,113,0.79,39.82,Manual CPC
6/3/2019,Enabled,Collection A V4,USD,300,Daily,Search,"11,226","1,260",11.22%,2087.16,0,0,0,0.00%,164,1.66,0,Manual CPC
6/10/2019,Enabled,Collection A V4,USD,300,Daily,Search,"12,222","1,296",10.60%,2188.38,12,13829.28,6.32,0.93%,170,1.69,182.37,Manual CPC
4/1/2019,Enabled,Collection A V5,USD,300,Daily,Search,522,24,4.60%,27.84,0,0,0,0.00%,97,1.16,0,Manual CPC
4/8/2019,Enabled,Collection A V5,USD,300,Daily,Search,450,18,4.00%,20.04,0,0,0,0.00%,146,1.11,0,Manual CPC
